Formula modelo,MAE train,MAE test,Variación validación (MAE)
Y~Y1+Y2+Y7+FIN_SEMANA+QUINCENA_DESPUES,6.175895481208974,5.940490215346636,3.811678267201753
Y~Y1+Y2+Y7+FESTIVO+QUINCENA,6.163238298983344,5.908812287292415,4.128122252435015
Y~Y1+Y2+Y7+FESTIVO+QUINCENA_DESPUES,6.160227740906296,5.909219942467075,4.074651279082298
Y~Y1+Y2+Y7+QUINCENA+QUINCENA_DESPUES,6.163811143281645,5.910469624642821,4.11014407725581
Y~Y1+Y2+Y14+CLASE_ACCIDENTE+DIA_SEMANA,6.26426219797122,6.189613337525608,1.1916624510032254
Y~Y1+Y2+Y14+CLASE_ACCIDENTE+FIN_SEMANA,6.2581307020926245,6.1717555238058175,1.3802073238566974
Y~Y1+Y2+Y14+CLASE_ACCIDENTE+FESTIVO,6.256655829285876,6.1834912465439045,1.1693880043633826
Y~Y1+Y2+Y14+CLASE_ACCIDENTE+QUINCENA,6.265467563634172,6.191901548857602,1.174150436969145
Y~Y1+Y2+Y14+CLASE_ACCIDENTE+QUINCENA_DESPUES,6.260145846485608,6.191138717635846,1.1023246189783584
Y~Y1+Y2+Y14+DIA_SEMANA+FIN_SEMANA,6.410559191971121,6.275442530806091,2.1077203582217385
Y~Y1+Y2+Y14+DIA_SEMANA+FESTIVO,6.372219704659358,6.2475537149767,1.9563981698795203
Y~Y1+Y2+Y14+DIA_SEMANA+QUINCENA,6.392845257730481,6.262710672095938,2.0356285877118445
Y~Y1+Y2+Y14+DIA_SEMANA+QUINCENA_DESPUES,6.385058148849412,6.259970220278533,1.959072660809196
Y~Y1+Y2+Y14+FIN_SEMANA+FESTIVO,6.400127785571124,6.260558063992817,2.180733358058295
Y~Y1+Y2+Y14+FIN_SEMANA+QUINCENA,6.412824057742443,6.272247226925437,2.1921205002854065
Y~Y1+Y2+Y14+FIN_SEMANA+QUINCENA_DESPUES,6.405689841762454,6.271323663332899,2.097606686379717
Y~Y1+Y2+Y14+FESTIVO+QUINCENA,6.412674689733394,6.282182880973295,2.034904545665082
Y~Y1+Y2+Y14+FESTIVO+QUINCENA_DESPUES,6.408177206367109,6.281992364607761,1.9691222276745493
Y~Y1+Y2+Y14+QUINCENA+QUINCENA_DESPUES,6.415649509271073,6.287844104846904,1.9920883184076743
Y~Y1+Y2+CLASE_ACCIDENTE+DIA_SEMANA+FIN_SEMANA,6.634326873872865,6.529119819938398,1.5857984680976651
Y~Y1+Y2+CLASE_ACCIDENTE+DIA_SEMANA+FESTIVO,6.613639234284147,6.53240075762796,1.2283475674793214
Y~Y1+Y2+CLASE_ACCIDENTE+DIA_SEMANA+QUINCENA,6.647548557508729,6.533779148408094,1.711449087079289
Y~Y1+Y2+CLASE_ACCIDENTE+DIA_SEMANA+QUINCENA_DESPUES,6.642573462503374,6.535131571827762,1.617473879394939
Y~Y1+Y2+CLASE_ACCIDENTE+FIN_SEMANA+FESTIVO,6.623827124896932,6.51877975908994,1.585901380368938
Y~Y1+Y2+CLASE_ACCIDENTE+FIN_SEMANA+QUINCENA,6.6367126077880885,6.526796820045083,1.656178205065267
Y~Y1+Y2+CLASE_ACCIDENTE+FIN_SEMANA+QUINCENA_DESPUES,6.631879132854051,6.5299339504285285,1.53719904092477
Y~Y1+Y2+CLASE_ACCIDENTE+FESTIVO+QUINCENA,6.645565325867617,6.531199665983425,1.720931994137924
Y~Y1+Y2+CLASE_ACCIDENTE+FESTIVO+QUINCENA_DESPUES,6.641720975472289,6.532902886944829,1.6384019884202128
Y~Y1+Y2+CLASE_ACCIDENTE+QUINCENA+QUINCENA_DESPUES,6.647682288304972,6.536950998159258,1.6657127302927628
Y~Y1+Y2+DIA_SEMANA+FIN_SEMANA+FESTIVO,6.969512300614339,6.78987022088187,2.577541612440143
Y~Y1+Y2+DIA_SEMANA+FIN_SEMANA+QUINCENA,6.986797135454047,6.796580128725298,2.7225208209281737
Y~Y1+Y2+DIA_SEMANA+FIN_SEMANA+QUINCENA_DESPUES,6.981713717840965,6.800707418310453,2.5925769352010475
Y~Y1+Y2+DIA_SEMANA+FESTIVO+QUINCENA,6.937956973000957,6.75330083611214,2.6615347660327964
Y~Y1+Y2+DIA_SEMANA+FESTIVO+QUINCENA_DESPUES,6.9328609027520685,6.754973328959251,2.565860995742805
Y~Y1+Y2+DIA_SEMANA+QUINCENA+QUINCENA_DESPUES,6.950193347476899,6.761872956989404,2.7095705266366568
Y~Y1+Y2+FIN_SEMANA+FESTIVO+QUINCENA,6.976475386761077,6.780581070325359,2.807926719091675
Y~Y1+Y2+FIN_SEMANA+FESTIVO+QUINCENA_DESPUES,6.972570166045915,6.784615582982172,2.695628420908827
Y~Y1+Y2+FIN_SEMANA+QUINCENA+QUINCENA_DESPUES,6.983950214857629,6.792239761966093,2.745014597665536
Y~Y1+Y2+FESTIVO+QUINCENA+QUINCENA_DESPUES,7.008212410342955,6.799855445935248,2.9730400879432053
Y~Y1+Y3+Y4+Y7+Y14,5.8474033777598,5.796301658286597,0.8739215711979912
Y~Y1+Y3+Y4+Y7+CLASE_ACCIDENTE,5.948131354216516,5.860323358116953,1.4762282617938016
Y~Y1+Y3+Y4+Y7+DIA_SEMANA,5.981013858067684,5.8916103676028415,1.4947882179581844
Y~Y1+Y3+Y4+Y7+FIN_SEMANA,5.9814263458852,5.901102914209756,1.342880895469032
Y~Y1+Y3+Y4+Y7+FESTIVO,5.967234960574507,5.861333692247626,1.7747125599472957
Y~Y1+Y3+Y4+Y7+QUINCENA,5.972634298333998,5.864198650618139,1.81554138926781
Y~Y1+Y3+Y4+Y7+QUINCENA_DESPUES,5.968342530580746,5.86654846737249,1.705566707786648
Y~Y1+Y3+Y4+Y14+CLASE_ACCIDENTE,6.088676842279977,6.155997305617752,1.1056665525471692
Y~Y1+Y3+Y4+Y14+DIA_SEMANA,6.13550645491723,6.180285885250169,0.7298408152932712
Y~Y1+Y3+Y4+Y14+FIN_SEMANA,6.137742892154017,6.192227889964877,0.8877041408904445
Y~Y1+Y3+Y4+Y14+FESTIVO,6.117474761756178,6.147952196516376,0.4982028687838608
Y~Y1+Y3+Y4+Y14+QUINCENA,6.125686659742663,6.151858630655596,0.4272495863187419
Y~Y1+Y3+Y4+Y14+QUINCENA_DESPUES,6.121684662831992,6.1537629111556775,0.524010139209711
Y~Y1+Y3+Y4+CLASE_ACCIDENTE+DIA_SEMANA,6.325593772372471,6.38731732585198,0.97577485530436
Y~Y1+Y3+Y4+CLASE_ACCIDENTE+FIN_SEMANA,6.302453861576559,6.408678427654975,1.685447738475681
Y~Y1+Y3+Y4+CLASE_ACCIDENTE+FESTIVO,6.317616958126293,6.3879243782193065,1.1128788047616212
Y~Y1+Y3+Y4+CLASE_ACCIDENTE+QUINCENA,6.32672067033972,6.38998299653301,0.9999228587705794
Y~Y1+Y3+Y4+CLASE_ACCIDENTE+QUINCENA_DESPUES,6.32364896984138,6.396103219034451,1.145766463929583
Y~Y1+Y3+Y4+DIA_SEMANA+FIN_SEMANA,6.431444277010709,6.495500688622396,0.9959879749041348
Y~Y1+Y3+Y4+DIA_SEMANA+FESTIVO,6.42710081592516,6.484883251749607,0.899043557575339
Y~Y1+Y3+Y4+DIA_SEMANA+QUINCENA,6.4459895465556265,6.491680779081167,0.7088319364395428
Y~Y1+Y3+Y4+DIA_SEMANA+QUINCENA_DESPUES,6.437605291238247,6.49487243525452,0.8895721533939694
Y~Y1+Y3+Y4+FIN_SEMANA+FESTIVO,6.425532087347591,6.503775132857539,1.2176897484336808
Y~Y1+Y3+Y4+FIN_SEMANA+QUINCENA,6.442746955894894,6.5103027145223935,1.048555206187135
Y~Y1+Y3+Y4+FIN_SEMANA+QUINCENA_DESPUES,6.437658518143889,6.515456688761476,1.2084855137674817
Y~Y1+Y3+Y4+FESTIVO+QUINCENA,6.464284854785712,6.491260231514898,0.4172987010189687
Y~Y1+Y3+Y4+FESTIVO+QUINCENA_DESPUES,6.462242708350708,6.499572253938605,0.577656198824889
Y~Y1+Y3+Y4+QUINCENA+QUINCENA_DESPUES,6.47017846991019,6.499036726841953,0.4460194887354327
Y~Y1+Y3+Y7+Y14+CLASE_ACCIDENTE,5.90756736111985,5.864594561444625,0.7274195459546734
Y~Y1+Y3+Y7+Y14+DIA_SEMANA,5.912461002346936,5.884986896234408,0.4646813924290163
Y~Y1+Y3+Y7+Y14+FIN_SEMANA,5.917402913066064,5.885648517919665,0.5366272267227654
Y~Y1+Y3+Y7+Y14+FESTIVO,5.902542875405536,5.85611962030393,0.7864958557953188
Y~Y1+Y3+Y7+Y14+QUINCENA,5.907834327824385,5.863824359973382,0.7449424849936499
Y~Y1+Y3+Y7+Y14+QUINCENA_DESPUES,5.9033328262562215,5.863229008710497,0.6793419704773402
Y~Y1+Y3+Y7+CLASE_ACCIDENTE+DIA_SEMANA,5.993292165382463,5.90531521225895,1.467923650238042
Y~Y1+Y3+Y7+CLASE_ACCIDENTE+FIN_SEMANA,5.998646778040921,5.918619930616109,1.3340816751832143
Y~Y1+Y3+Y7+CLASE_ACCIDENTE+FESTIVO,6.010043551481224,5.904480743971109,1.756439975948226
Y~Y1+Y3+Y7+CLASE_ACCIDENTE+QUINCENA,6.015209632466265,5.909571717501318,1.7561801070868923
Y~Y1+Y3+Y7+CLASE_ACCIDENTE+QUINCENA_DESPUES,6.011308149435304,5.913450874407639,1.6278865197894998
Y~Y1+Y3+Y7+DIA_SEMANA+FIN_SEMANA,6.069769314290028,5.967082008097529,1.6917826835814374
Y~Y1+Y3+Y7+DIA_SEMANA+FESTIVO,6.055757214272466,5.951065556606387,1.728795490997194
Y~Y1+Y3+Y7+DIA_SEMANA+QUINCENA,6.066848716789837,5.963154745092098,1.709190001899483
Y~Y1+Y3+Y7+DIA_SEMANA+QUINCENA_DESPUES,6.059537022927231,5.964705201281809,1.5650011095998029
Y~Y1+Y3+Y7+FIN_SEMANA+FESTIVO,6.062016903510793,5.9592865843942135,1.6946557680676169
Y~Y1+Y3+Y7+FIN_SEMANA+QUINCENA,6.070788469440791,5.968989108992082,1.6768721387863963
Y~Y1+Y3+Y7+FIN_SEMANA+QUINCENA_DESPUES,6.06626605315634,5.971496947203687,1.5622312823444826
Y~Y1+Y3+Y7+FESTIVO+QUINCENA,6.061832528389361,5.930617281207977,2.164613531747437
Y~Y1+Y3+Y7+FESTIVO+QUINCENA_DESPUES,6.058803179243228,5.933964789326881,2.0604463657778123
Y~Y1+Y3+Y7+QUINCENA+QUINCENA_DESPUES,6.06095573704761,5.936304068461082,2.0566338708694856
Y~Y1+Y3+Y14+CLASE_ACCIDENTE+DIA_SEMANA,6.166774531442598,6.225678547452504,0.9551835519455404
Y~Y1+Y3+Y14+CLASE_ACCIDENTE+FIN_SEMANA,6.159433880153964,6.224864759830095,1.0622872320612622
Y~Y1+Y3+Y14+CLASE_ACCIDENTE+FESTIVO,6.157620403147586,6.2194472718623,1.0040708044151183
Y~Y1+Y3+Y14+CLASE_ACCIDENTE+QUINCENA,6.166659453266356,6.22599727358612,0.9622360496708514
Y~Y1+Y3+Y14+CLASE_ACCIDENTE+QUINCENA_DESPUES,6.16144600467634,6.227316299660049,1.0690720154605826
Y~Y1+Y3+Y14+DIA_SEMANA+FIN_SEMANA,6.266524314363825,6.284825959228298,0.2920541586748958
Y~Y1+Y3+Y14+DIA_SEMANA+FESTIVO,6.241690120368713,6.273444754360983,0.5087505688346123
Y~Y1+Y3+Y14+DIA_SEMANA+QUINCENA,6.25834499007522,6.284330972692723,0.4152213190342207
Y~Y1+Y3+Y14+DIA_SEMANA+QUINCENA_DESPUES,6.250230950556976,6.285060660533451,0.557254767895759
Y~Y1+Y3+Y14+FIN_SEMANA+FESTIVO,6.25550840359202,6.279592925185249,0.3850130163585029
Y~Y1+Y3+Y14+FIN_SEMANA+QUINCENA,6.269037647366999,6.287674232592464,0.2972798421986154
Y~Y1+Y3+Y14+FIN_SEMANA+QUINCENA_DESPUES,6.264131642661672,6.28960713681345,0.4066883584993226
Y~Y1+Y3+Y14+FESTIVO+QUINCENA,6.248767792519628,6.256988621175536,0.1315591958105584
Y~Y1+Y3+Y14+FESTIVO+QUINCENA_DESPUES,6.245210696488769,6.26110416109967,0.2544904468929569
Y~Y1+Y3+Y14+QUINCENA+QUINCENA_DESPUES,6.251690390711279,6.261221033096048,0.1524490464039753
Y~Y1+Y3+CLASE_ACCIDENTE+DIA_SEMANA+FIN_SEMANA,6.464724992480807,6.538450913191194,1.1404339828242975
Y~Y1+Y3+CLASE_ACCIDENTE+DIA_SEMANA+FESTIVO,6.472655937369064,6.540395143423376,1.046544211677127
Y~Y1+Y3+CLASE_ACCIDENTE+DIA_SEMANA+QUINCENA,6.498197007573243,6.547470011050615,0.7582565351581046
Y~Y1+Y3+CLASE_ACCIDENTE+DIA_SEMANA+QUINCENA_DESPUES,6.495487994527837,6.553062473493691,0.8863764972602258
Y~Y1+Y3+CLASE_ACCIDENTE+FIN_SEMANA+FESTIVO,6.460027363627092,6.546749435287826,1.3424412433454866
Y~Y1+Y3+CLASE_ACCIDENTE+FIN_SEMANA+QUINCENA,6.473037672458597,6.554310078884055,1.2555528105645797
Y~Y1+Y3+CLASE_ACCIDENTE+FIN_SEMANA+QUINCENA_DESPUES,6.468098236414622,6.559028309939888,1.4058239408508144
Y~Y1+Y3+CLASE_ACCIDENTE+FESTIVO+QUINCENA,6.492585806564526,6.544111889635975,0.7936142025162198
Y~Y1+Y3+CLASE_ACCIDENTE+FESTIVO+QUINCENA_DESPUES,6.490190368961193,6.5505372572636,0.9298169217194434
Y~Y1+Y3+CLASE_ACCIDENTE+QUINCENA+QUINCENA_DESPUES,6.497570227024971,6.552768229691376,0.8495176002380528
Y~Y1+Y3+DIA_SEMANA+FIN_SEMANA+FESTIVO,6.700364052308802,6.744510042998256,0.6588595835213118
Y~Y1+Y3+DIA_SEMANA+FIN_SEMANA+QUINCENA,6.708463155624406,6.727683946423594,0.2865155603198462
Y~Y1+Y3+DIA_SEMANA+FIN_SEMANA+QUINCENA_DESPUES,6.703108856708987,6.732777117637297,0.4426044923709664
Y~Y1+Y3+DIA_SEMANA+FESTIVO+QUINCENA,6.689152807322071,6.729069310031119,0.5967348012345466
Y~Y1+Y3+DIA_SEMANA+FESTIVO+QUINCENA_DESPUES,6.683005090104277,6.734404342821331,0.7691038989804566
Y~Y1+Y3+DIA_SEMANA+QUINCENA+QUINCENA_DESPUES,6.697530479262302,6.741080359769971,0.6502378845831822
Y~Y1+Y3+FIN_SEMANA+FESTIVO+QUINCENA,6.701429845562565,6.732286552587656,0.4604496015954425
Y~Y1+Y3+FIN_SEMANA+FESTIVO+QUINCENA_DESPUES,6.696982921743451,6.738977575759346,0.6270682560582505
Y~Y1+Y3+FIN_SEMANA+QUINCENA+QUINCENA_DESPUES,6.7089299991599445,6.743269238671842,0.5118437592313129
Y~Y1+Y3+FESTIVO+QUINCENA+QUINCENA_DESPUES,6.739344681002581,6.74528581184525,0.0881559131322601
Y~Y1+Y4+Y7+Y14+CLASE_ACCIDENTE,5.931472497091266,5.7869556094837655,2.4364420079224898
Y~Y1+Y4+Y7+Y14+DIA_SEMANA,5.970458523076788,5.78993193965692,3.023663638598326
Y~Y1+Y4+Y7+Y14+FIN_SEMANA,5.98299757539695,5.812377190393813,2.8517542060313543
Y~Y1+Y4+Y7+Y14+FESTIVO,5.958797796349381,5.766476278029356,3.2275221427692915
Y~Y1+Y4+Y7+Y14+QUINCENA,5.965411085733817,5.773750506291786,3.212864573581259
Y~Y1+Y4+Y7+Y14+QUINCENA_DESPUES,5.961388137773066,5.772720462369271,3.164827906580051
Y~Y1+Y4+Y7+CLASE_ACCIDENTE+DIA_SEMANA,6.053433238359906,5.8225670831904,3.813805258585066
Y~Y1+Y4+Y7+CLASE_ACCIDENTE+FIN_SEMANA,6.041250278110441,5.828734689254961,3.517741842702625
