FECHA_ACCIDENTE,Y,CLASE_ACCIDENTE
2015-02-06,16,Atropello
2015-02-07,12,Atropello
2015-02-08,14,Atropello
2015-02-09,10,Atropello
2015-02-10,18,Atropello
2015-02-11,5,Atropello
2015-02-12,13,Atropello
2015-02-13,11,Atropello
2015-02-14,10,Atropello
2015-02-15,13,Atropello
2015-02-16,19,Atropello
2015-02-17,9,Atropello
2015-02-18,18,Atropello
2015-02-19,15,Atropello
2015-02-20,10,Atropello
2015-02-21,15,Atropello
2015-02-22,5,Atropello
2015-02-23,13,Atropello
2015-02-24,9,Atropello
2015-02-25,20,Atropello
2015-02-26,11,Atropello
2015-02-27,16,Atropello
2015-02-28,14,Atropello
2015-03-01,11,Atropello
2015-03-02,17,Atropello
2015-03-03,13,Atropello
2015-03-04,1,Atropello
2015-03-05,8,Atropello
2015-03-06,21,Atropello
2015-03-07,14,Atropello
2015-03-08,10,Atropello
2015-03-09,14,Atropello
2015-03-10,9,Atropello
2015-03-11,21,Atropello
2015-03-12,7,Atropello
2015-03-13,15,Atropello
2015-03-14,19,Atropello
2015-03-15,18,Atropello
2015-03-16,7,Atropello
2015-03-17,14,Atropello
2015-03-18,11,Atropello
2015-03-19,6,Atropello
2015-03-20,11,Atropello
2015-03-21,15,Atropello
2015-03-22,10,Atropello
2015-03-23,9,Atropello
2015-03-24,14,Atropello
2015-03-25,10,Atropello
2015-03-26,15,Atropello
2015-03-27,14,Atropello
2015-03-28,16,Atropello
2015-03-29,8,Atropello
2015-03-30,9,Atropello
2015-03-31,17,Atropello
2015-04-01,8,Atropello
2015-04-02,10,Atropello
2015-04-03,15,Atropello
2015-04-04,5,Atropello
2015-04-05,15,Atropello
2015-04-06,10,Atropello
2015-04-07,20,Atropello
2015-04-08,6,Atropello
2015-04-09,15,Atropello
2015-04-10,6,Atropello
2015-04-11,10,Atropello
2015-04-12,10,Atropello
2015-04-13,14,Atropello
2015-04-14,11,Atropello
2015-04-15,9,Atropello
2015-04-16,16,Atropello
2015-04-17,8,Atropello
2015-04-18,12,Atropello
2015-04-19,11,Atropello
2015-04-20,14,Atropello
2015-04-21,14,Atropello
2015-04-22,16,Atropello
2015-04-23,13,Atropello
2015-04-24,16,Atropello
2015-04-25,15,Atropello
2015-04-26,12,Atropello
2015-04-27,16,Atropello
2015-04-28,16,Atropello
2015-04-29,14,Atropello
2015-04-30,11,Atropello
2015-05-01,8,Atropello
2015-05-02,13,Atropello
